SRLNUM,MRHST_NM,MRHST_LA,MRHST_LO,MRHST_CTPRVN_CD,MRHST_CTPRVN_NM,MRHST_SIGNGU_CD,MRHST_SIGNGU_NM,MRHST_ADSTRD_CD,MRHST_ADSTRD_NM,MRHST_FLAG_CD,MRHST_FLAG_CD_NM
3105,이마트24 괴정대로점,35.1001960,128.9803245,21,부산광역시,21100,사하구,2110051,괴정1동,B,급식카드가맹점
3106,이마트24 괴정동주대점,35.1067512,128.9981885,21,부산광역시,21100,사하구,2110051,괴정1동,B,급식카드가맹점
3107,이마트24 괴정본동점,35.0965364,128.9882524,21,부산광역시,21100,사하구,2110051,괴정1동,B,급식카드가맹점
3108,이마트24 괴정제일점,35.1007252,128.9996733,21,부산광역시,21100,사하구,2110051,괴정1동,B,급식카드가맹점
3109,이마트24 괴정협진점,35.0956999,128.9900499,21,부산광역시,21100,사하구,2110051,괴정1동,B,급식카드가맹점
3110,이마트24 구서선경점,35.2546581,129.0889489,21,부산광역시,21110,금정구,2111069,구서1동,B,급식카드가맹점
3337,장산김밥,35.1195474,129.1129550,21,부산광역시,21070,남구,2107057,용호1동,B,급식카드가맹점
3111,이마트24 구포가람점,35.2061156,128.9989714,21,부산광역시,21080,북구,2108051,구포1동,B,급식카드가맹점
3112,이마트24 기장동부점,35.2478202,129.2170201,21,부산광역시,21310,기장군,2131011,기장읍,B,급식카드가맹점
3113,이마트24 기장월내점,35.3279343,129.2799353,21,부산광역시,21310,기장군,2131012,장안읍,B,급식카드가맹점
3114,이마트24 기장햇살점,35.2420136,129.2141220,21,부산광역시,21310,기장군,2131011,기장읍,B,급식카드가맹점
3115,이마트24 낙민한일점,35.1952384,129.0904728,21,부산광역시,21060,동래구,2106051,수민동,B,급식카드가맹점
3116,이마트24 남산금강점,35.2681080,129.0888834,21,부산광역시,21110,금정구,2111068,남산동,B,급식카드가맹점
3117,이마트24 남산럭키점,35.2739357,129.0852600,21,부산광역시,21110,금정구,2111068,남산동,B,급식카드가맹점
3118,이마트24 남천바다점,35.1488645,129.1138221,21,부산광역시,21140,수영구,2114056,광안1동,B,급식카드가맹점
3119,이마트24 다대경민점,35.0561355,128.9711841,21,부산광역시,21100,사하구,2110062,다대1동,B,급식카드가맹점
3120,이마트24 다대원병원점,35.0559349,128.9708752,21,부산광역시,21100,사하구,2110062,다대1동,B,급식카드가맹점
3121,이마트24 당감백양점,35.1682263,129.0279198,21,부산광역시,21050,부산진구,2105080,당감제1동,B,급식카드가맹점
3122,이마트24 당리OK점,35.1041396,128.9729767,21,부산광역시,21100,사하구,2110055,당리동,B,급식카드가맹점
3123,이마트24 대연금양타워점,35.1357094,129.0978242,21,부산광역시,21070,남구,2107070,대연1동,B,급식카드가맹점
3124,이마트24 대연못골점,35.1354913,129.0905977,21,부산광역시,21070,남구,2107070,대연1동,B,급식카드가맹점
3125,이마트24 대저역점,35.2132413,128.9606154,21,부산광역시,21120,강서구,2112051,대저1동,B,급식카드가맹점
3126,이마트24 덕천베스트점,35.2079012,129.0090624,21,부산광역시,21080,북구,2108056,덕천1동,B,급식카드가맹점
3127,이마트24 덕천점,35.2106680,129.0097051,21,부산광역시,21080,북구,2108056,덕천1동,B,급식카드가맹점
3128,이마트24 동래럭키점,35.2060641,129.0757016,21,부산광역시,21060,동래구,2106055,온천1동,B,급식카드가맹점
3129,이마트24 동래미남점,35.2048978,129.0665773,21,부산광역시,21060,동래구,2106055,온천1동,B,급식카드가맹점
3130,이마트24 동매힐스점,35.0905778,128.9742908,21,부산광역시,21100,사하구,2110058,신평1동,B,급식카드가맹점
3131,이마트24 동부산대점,35.2322279,129.1480397,21,부산광역시,21090,해운대구,2109072,반송1동,B,급식카드가맹점
3132,이마트24 동의대역점,35.1794516,129.1231068,21,부산광역시,21090,해운대구,2109064,재송1동,B,급식카드가맹점
3133,이마트24 망미연수로점,35.1729947,129.0994072,21,부산광역시,21140,수영구,2114054,망미1동,B,급식카드가맹점
3134,이마트24 메트로시티점,35.1297860,129.1095710,21,부산광역시,21070,남구,2107057,용호1동,B,급식카드가맹점
3135,이마트24 명지부영점,35.0881441,128.8751861,21,부산광역시,21120,강서구,2112056,녹산동,B,급식카드가맹점
3136,이마트24 명지행복점,35.0871950,128.9106965,21,부산광역시,21120,강서구,2112059,명지1동,B,급식카드가맹점
3137,이마트24 미남로점,35.2064469,129.0712556,21,부산광역시,21060,동래구,2106055,온천1동,B,급식카드가맹점
3138,이마트24 미남원룸점,35.2025703,129.0667156,21,부산광역시,21060,동래구,2106055,온천1동,B,급식카드가맹점
3139,이마트24 미음산단점,35.1284365,128.8537872,21,부산광역시,21120,강서구,2112056,녹산동,B,급식카드가맹점
3140,이마트24 민락e편한세상점,35.1554375,129.1269947,21,부산광역시,21140,수영구,2114060,민락동,B,급식카드가맹점
3141,이마트24 반송제일점,35.2218723,129.1495864,21,부산광역시,21090,해운대구,2109072,반송1동,B,급식카드가맹점
3142,이마트24 반여우성점,35.2061473,129.1241138,21,부산광역시,21090,해운대구,2109070,반여1동,B,급식카드가맹점
3143,이마트24 반여재반로점,35.1985680,129.1319866,21,부산광역시,21090,해운대구,2109070,반여1동,B,급식카드가맹점
3144,이마트24 범어사역점,35.2720027,129.0929658,21,부산광역시,21110,금정구,2111068,남산동,B,급식카드가맹점
